row_number,event_id,ticker,reaction_start,event_time,event_type,biotech_catalyst_event_type,event_direction_pre_price,trial_phase,market_cap_bucket,binary_catalyst_flag,designation_only_flag,clinical_trial_readout_flag,regulatory_decision_flag,y_true,actual_positive,predicted_positive_probability,predicted_positive,baseline_positive_probability,model_status,purge_days,train_rows_after_purge,car_sector_adj_h1,car_sector_adj_simple_h1,car_market_model_h1,car_index_adj_h1,raw_return_h1
50,PTCT_8-K_2025-05-05_0001070081-25-000014,PTCT,2025-05-05,2025-05-05 11:55:12,phase_2_readout,phase_2_readout,mixed,phase_2,mid_2b_10b,True,False,True,False,0,0,0.897946847833311,1,0.4,ok,3,50,-0.19579193533679642,-0.1778167158289954,-0.2024590324895562,-0.20027273862736275,-0.1861861680683038
51,SMMT_8-K_2025-05-30_0001599298-25-000099,SMMT,2025-05-30,2025-05-30 20:17:49,phase_3_readout,phase_3_readout,mixed,phase_3,large_gt_10b,False,False,True,False,0,0,0.050239576431761315,0,0.39215686274509803,ok,3,51,-0.34798546311079154,-0.2938908592298747,-0.36478643332139477,-0.36277635618287635,-0.30503621561059757
52,RYTM_8-K_2025-07-09_0001104659-25-066724,RYTM,2025-07-09,2025-07-09 20:39:20,phase_2_readout,phase_2_readout,mixed,phase_2,mid_2b_10b,False,False,True,False,1,1,0.6747091167068555,1,0.38461538461538464,ok,3,52,0.2754727164508564,0.3171531676953969,0.30806530856786896,0.3061188606960736,0.36628800788940774
53,ALKS_8-K_2025-07-21_0000950170-25-097323,ALKS,2025-07-21,2025-07-21 21:16:35,phase_2_readout,phase_2_readout,mixed,phase_2,mid_2b_10b,True,False,True,False,0,0,0.49622698004067806,0,0.39622641509433965,ok,3,53,-0.0870416999967569,-0.08336112900177362,-0.09271283768447956,-0.09358345349116898,-0.08761120896989127
54,REPL_8-K_2025-07-22_0001104659-25-069489,REPL,2025-07-22,2025-07-22 12:18:47,fda_complete_response_letter,fda_complete_response_letter,negative,unknown,micro_lt_300m,True,False,False,True,0,0,0.0008756746610662095,0,0.3888888888888889,ok,3,53,-1.4901915054986992,-0.7746705004309188,-1.4808502459336015,-1.4803692526016579,-0.7724137841650444
55,PTCT_8-K_2025-08-19_0001558370-25-011658,PTCT,2025-08-19,2025-08-19 12:10:10,fda_complete_response_letter,fda_complete_response_letter,negative,unknown,mid_2b_10b,True,False,False,True,1,1,0.290937412246193,0,0.38181818181818183,ok,3,55,0.01152786098920108,0.011594562842176082,0.0025476701869846553,0.0012142300769944492,-0.0042168491503987715
56,ALKS_8-K_2025-09-08_0000950170-25-113379,ALKS,2025-09-08,2025-09-08 13:15:27,phase_2_readout,phase_2_readout,positive,phase_2,mid_2b_10b,True,False,True,False,0,0,0.10083364125819458,0,0.39285714285714285,ok,3,56,-0.04009396900657289,-0.03930084103496345,-0.0505104507188901,-0.053501023817351084,-0.049766190532403165
57,ROIV_8-K_2025-09-17_0001140361-25-035190,ROIV,2025-09-17,2025-09-17 11:45:44,phase_3_readout,phase_3_readout,mixed,phase_3,large_gt_10b,True,False,True,False,1,1,0.9068588593748168,1,0.38596491228070173,ok,3,57,0.07439224780816493,0.07722926345418024,0.07471334716138435,0.07595543139228783,0.07757400593241925
58,ARVN_8-K_2025-10-20_0001628280-25-045445,ARVN,2025-10-20,2025-10-20 10:06:41,phase_3_readout,phase_3_readout,mixed,phase_3,small_300m_2b,False,False,True,False,0,0,0.3329795706404409,0,0.39655172413793105,ok,3,58,-0.0009561963143543163,-0.0009557393043339024,0.015371754841976532,0.010443986496365657,0.02100838231599389
59,REPL_8-K_2025-10-20_0001104659-25-100605,REPL,2025-10-20,2025-10-20 11:20:45,fda_complete_response_letter,fda_complete_response_letter,negative,unknown,small_300m_2b,True,False,False,True,1,1,0.9999955069515098,1,0.3898305084745763,ok,3,58,0.6652703406963864,0.9450162673205516,0.6931078286033548,0.6766705235071063,0.9877777099609375
60,SMMT_8-K_2025-11-07_0001599298-25-000166,SMMT,2025-11-07,2025-11-07 14:23:15,phase_3_readout,phase_3_readout,mixed,phase_3,large_gt_10b,False,False,True,False,0,0,0.39493647212907385,0,0.4,ok,3,60,-0.011718258483676016,-0.011649867096050204,-0.011660162925917966,-0.01572632957422093,-0.014634170547354275
61,ALKS_8-K_2025-11-12_0001193125-25-276161,ALKS,2025-11-12,2025-11-12 13:45:28,phase_2_readout,phase_2_readout,positive,phase_3,mid_2b_10b,True,False,True,False,0,0,0.040649037664769266,0,0.39344262295081966,ok,3,61,-0.07450708156400393,-0.071799099078379,-0.07311056421169462,-0.07418659251920312,-0.07098495795314708
62,ALKS_8-K_2026-01-06_0001193125-26-003453,ALKS,2026-01-06,2026-01-06 12:06:35,breakthrough_designation,breakthrough_designation,positive,phase_2,mid_2b_10b,False,True,False,True,1,1,0.47082346592619606,0,0.3870967741935484,ok,3,62,0.011458742339103024,0.01152464520787988,0.024715308457973893,0.021546646460361852,0.027857167380196612
63,MGNX_8-K_2026-02-24_0001125345-26-000009,MGNX,2026-02-23,2026-02-23 23:41:38,trial_halt,trial_halt,negative,phase_2,micro_lt_300m,True,False,False,False,1,1,0.6853206187934094,1,0.3968253968253968,ok,3,63,0.011588838027998937,0.011656248763775467,0.03914960319169185,0.039251316663936484,0.02941173583166079
64,REPL_8-K_2026-04-13_0001104659-26-042141,REPL,2026-04-10,2026-04-10 21:59:21,fda_complete_response_letter,fda_complete_response_letter,negative,phase_2,small_300m_2b,True,False,False,True,0,0,0.3218889233411348,0,0.40625,ok,3,64,-0.19817815025629912,-0.17977628294428882,-0.2196628850510417,-0.21573608968373373,-0.1945853888699911
65,MIRM_8-K_2026-05-04_0001193125-26-202609,MIRM,2026-05-04,2026-05-04 12:00:06,safety_signal,safety_signal,negative,phase_2_3,mid_2b_10b,True,False,False,False,1,1,0.6202561102412005,1,0.4,ok,3,65,0.06826069752327182,0.07064438643957693,0.09533915447968536,0.09527228371634655,0.09592875016400071
66,BBIO_8-K_2026-05-13_0001140361-26-021036,BBIO,2026-05-13,2026-05-13 20:01:37,phase_3_readout,phase_3_readout,mixed,phase_3,large_gt_10b,False,False,True,False,1,1,0.6624919048774676,1,0.4090909090909091,ok,3,66,0.03259800850410156,0.03313514421217767,0.03191649682786401,0.03396221770135887,0.04033364344500212
